"","people_id","name","session","party_id","party","role_id","role","district","NBillsCosponsored","NBillsPrimary","MeanPos","MedianPos","GOP","DEM","IND","Female","LittleLeader","BigLeader"
"WPSA.L.79.61",17525,"Patricia Farley",79,3,"I",2,"Sen","SD-008",83,20,7.46987951807229,6,0,0,1,1,0,0
"WPSA.L.78.74",17526,"Mark Lipparelli",78,2,"R",2,"Sen","SD-006",32,5,11.125,5.5,1,0,0,0,0,0
"WPSA.L.79.62",17976,"Julia Ratti",79,1,"D",2,"Sen","SD-013",96,11,9.78125,7.5,0,1,0,1,0,0
"WPSA.L.80.40",17976,"Julia Ratti",80,1,"D",2,"Sen","SD-013",81,17,6.39506172839506,4,0,1,0,1,1,0
"WPSA.L.81.26",17976,"Julia Ratti",81,1,"D",2,"Sen","SD-013",38,10,8.78947368421053,4,0,1,0,1,1,0
"WPSA.L.82.20",17976,"Julia Ratti",82,1,"D",2,"Sen","SD-013",1,0,18,18,0,1,0,1,0,0
"WPSA.L.79.63",19219,"Keith Pickard",79,2,"R",1,"Rep","SD-020",32,6,17.84375,11.5,1,0,0,0,0,0
"WPSA.L.80.41",19219,"Keith Pickard",80,2,"R",2,"Sen","SD-020",68,13,7.1764705882353,4,1,0,0,0,0,0
"WPSA.L.81.27",19219,"Keith Pickard",81,2,"R",2,"Sen","SD-020",54,20,6.74074074074074,2.5,1,0,0,0,0,0
"WPSA.L.79.64",19220,"Nicole Cannizzaro",79,1,"D",2,"Sen","SD-006",92,11,7.80434782608696,5,0,1,0,1,0,0
"WPSA.L.80.42",19220,"Nicole Cannizzaro",80,1,"D",2,"Sen","SD-006",83,30,4.20481927710843,3,0,1,0,1,1,1
"WPSA.L.81.28",19220,"Nicole Cannizzaro",81,1,"D",2,"Sen","SD-006",43,26,3.48837209302326,1,0,1,0,1,1,1
"WPSA.L.82.21",19220,"Nicole Cannizzaro",82,1,"D",2,"Sen","SD-006",61,29,2.88524590163934,2,0,1,0,1,1,1
"WPSA.L.79.65",19221,"Shannon Bilbray-Axelrod",79,1,"D",1,"Rep","HD-034",57,6,7.42105263157895,6,0,1,0,1,0,0
"WPSA.L.80.43",19221,"Shannon Bilbray-Axelrod",80,1,"D",1,"Rep","HD-034",70,10,4.65714285714286,3,0,1,0,1,0,0
"WPSA.L.81.29",19221,"Shannon Bilbray-Axelrod",81,1,"D",1,"Rep","HD-034",54,8,6.61111111111111,5.5,0,1,0,1,0,0
"WPSA.L.82.22",19221,"Shannon Bilbray-Axelrod",82,1,"D",1,"Rep","HD-034",47,6,7.4468085106383,6,0,1,0,1,0,0
"WPSA.L.79.66",19222,"Chris Brooks",79,1,"D",1,"Rep","SD-003",60,6,7.86666666666667,6,0,1,0,0,0,0
"WPSA.L.80.44",19222,"Chris Brooks",80,1,"D",2,"Sen","SD-003",96,19,4.98958333333333,4,0,1,0,0,0,0
"WPSA.L.81.30",19222,"Chris Brooks",81,1,"D",2,"Sen","SD-003",27,6,6.44444444444444,3,0,1,0,0,1,1
"WPSA.L.79.67",19223,"Ozzie Fumo",79,1,"D",1,"Rep","HD-021",66,6,11.2121212121212,8.5,0,1,0,0,0,0
"WPSA.L.80.45",19223,"Ozzie Fumo",80,1,"D",1,"Rep","HD-021",83,10,5.95180722891566,4,0,1,0,0,0,0
"WPSA.L.79.68",19224,"Sandra Jauregui",79,1,"D",1,"Rep","HD-041",60,8,12.5333333333333,9.5,0,1,0,1,0,0
"WPSA.L.80.46",19224,"Sandra Jauregui",80,1,"D",1,"Rep","HD-041",47,8,8.38297872340426,6,0,1,0,1,0,0
"WPSA.L.81.31",19224,"Sandra Jauregui",81,1,"D",1,"Rep","HD-041",23,8,12.1304347826087,7,0,1,0,1,1,0
"WPSA.L.82.23",19224,"Sandra Jauregui",82,1,"D",1,"Rep","HD-041",31,12,8.29032258064516,2,0,1,0,1,1,1
"WPSA.L.79.69",19225,"Al Kramer",79,2,"R",1,"Rep","HD-040",37,6,12.3783783783784,6,1,0,0,0,0,0
"WPSA.L.80.47",19225,"Al Kramer",80,2,"R",1,"Rep","HD-040",60,18,5.03333333333333,3,1,0,0,0,0,0
"WPSA.L.79.70",19226,"Lisa Krasner",79,2,"R",1,"Rep","HD-026",28,6,15,9.5,1,0,0,1,0,0
"WPSA.L.80.48",19226,"Lisa Krasner",80,2,"R",1,"Rep","HD-026",50,12,6.72,4,1,0,0,1,1,1
"WPSA.L.81.32",19226,"Lisa Krasner",81,2,"R",1,"Rep","HD-026",59,8,9.50847457627119,8,1,0,0,1,1,0
"WPSA.L.82.24",19226,"Lisa Krasner",82,2,"R",2,"Sen","SD-016",85,9,6.09411764705882,5,1,0,0,1,1,1
"WPSA.L.79.71",19227,"Jim Marchant",79,2,"R",1,"Rep","HD-037",26,5,16.0384615384615,10,1,0,0,0,0,0
"WPSA.L.79.72",19228,"William McCurdy",79,1,"D",1,"Rep","HD-006",56,7,12.7142857142857,8,0,1,0,0,0,0
"WPSA.L.80.49",19228,"William McCurdy",80,1,"D",1,"Rep","HD-006",62,14,7.40322580645161,5,0,1,0,0,1,0
"WPSA.L.79.73",19229,"Brittney Miller",79,1,"D",1,"Rep","HD-005",52,5,15.2115384615385,13,0,1,0,1,0,0
"WPSA.L.80.50",19229,"Brittney Miller",80,1,"D",1,"Rep","HD-005",46,10,10.4565217391304,9.5,0,1,0,1,0,0
"WPSA.L.81.33",19229,"Brittney Miller",81,1,"D",1,"Rep","HD-005",44,7,10.7045454545455,7.5,0,1,0,1,0,0
"WPSA.L.82.25",19229,"Brittney Miller",82,1,"D",1,"Rep","HD-005",34,8,8.79411764705882,5,0,1,0,1,0,0
"WPSA.L.79.74",19230,"Daniele Monroe-Moreno",79,1,"D",1,"Rep","HD-001",64,7,13.96875,10,0,1,0,1,0,0
"WPSA.L.80.51",19230,"Daniele Monroe-Moreno",80,1,"D",1,"Rep","HD-001",65,13,7.93846153846154,6,0,1,0,1,1,0
"WPSA.L.81.34",19230,"Daniele Monroe-Moreno",81,1,"D",1,"Rep","HD-001",40,5,10.6,5,0,1,0,1,1,0
"WPSA.L.82.26",19230,"Daniele Monroe-Moreno",82,1,"D",1,"Rep","HD-001",37,9,10.8108108108108,7,0,1,0,1,1,1
"WPSA.L.79.75",19231,"Jill Tolles",79,2,"R",1,"Rep","HD-025",38,6,18.9736842105263,12.5,1,0,0,1,0,0
"WPSA.L.80.52",19231,"Jill Tolles",80,2,"R",1,"Rep","HD-025",53,13,8.45283018867925,5,1,0,0,1,1,0
"WPSA.L.81.35",19231,"Jill Tolles",81,2,"R",1,"Rep","HD-025",50,6,13.04,9,1,0,0,1,1,0
"WPSA.L.79.76",19232,"Justin Watkins",79,1,"D",1,"Rep","HD-035",40,7,17.35,5.5,0,1,0,0,0,0
"WPSA.L.80.53",19232,"Justin Watkins",80,1,"D",1,"Rep","HD-035",2,0,15,15,0,1,0,0,0,0
"WPSA.L.79.77",19233,"Steve Yeager",79,1,"D",1,"Rep","HD-009",77,11,14.025974025974,7,0,1,0,0,0,0
"WPSA.L.80.54",19233,"Steve Yeager",80,1,"D",1,"Rep","HD-009",61,11,8.86885245901639,5,0,1,0,0,1,1
"WPSA.L.81.36",19233,"Steve Yeager",81,1,"D",1,"Rep","HD-009",40,11,12.475,3,0,1,0,0,1,1
"WPSA.L.82.27",19233,"Steve Yeager",82,1,"D",1,"Rep","HD-009",45,17,7.82222222222222,2,0,1,0,0,1,1
"WPSA.L.79.78",19234,"Yvanna Cancela",79,1,"D",2,"Sen","SD-010",119,10,7.15966386554622,5,0,1,0,1,0,0
"WPSA.L.80.55",19234,"Yvanna Cancela",80,1,"D",2,"Sen","SD-010",96,18,5.79166666666667,4,0,1,0,1,1,1
"WPSA.L.81.37",19234,"Yvanna Cancela",81,1,"D",2,"Sen","SD-010",1,0,7,7,0,1,0,1,0,0
"WPSA.L.80.56",21171,"Dallas Harris",80,1,"D",2,"Sen","SD-011",1,0,NA,NA,0,1,0,1,0,0
"WPSA.L.81.38",21171,"Dallas Harris",81,1,"D",2,"Sen","SD-011",64,23,6.828125,3,0,1,0,1,0,0
"WPSA.L.82.28",21171,"Dallas Harris",82,1,"D",2,"Sen","SD-011",95,18,6,5,0,1,0,1,1,0
"WPSA.L.80.57",21172,"Melanie Scheible",80,1,"D",2,"Sen","SD-009",1,0,NA,NA,0,1,0,1,0,0
"WPSA.L.81.39",21172,"Melanie Scheible",81,1,"D",2,"Sen","SD-009",44,11,9.06818181818182,4.5,0,1,0,1,0,0
"WPSA.L.82.29",21172,"Melanie Scheible",82,1,"D",2,"Sen","SD-009",83,19,8.28915662650602,7,0,1,0,1,1,1
"WPSA.L.80.58",21173,"Alexander Assefa",80,1,"D",1,"Rep","HD-042",1,0,NA,NA,0,1,0,0,0,0
"WPSA.L.80.59",21174,"Shea Backus",80,1,"D",1,"Rep","HD-037",1,0,NA,NA,0,1,0,1,0,0
"WPSA.L.82.30",21174,"Shea Backus",82,1,"D",1,"Rep","HD-037",25,6,7.32,6,0,1,0,1,0,0
"WPSA.L.80.60",21175,"Bea Duran",80,1,"D",1,"Rep","HD-011",1,0,NA,NA,0,1,0,1,0,0
"WPSA.L.81.40",21175,"Bea Duran",81,1,"D",1,"Rep","HD-011",50,7,8.26,7,0,1,0,1,0,0
"WPSA.L.82.31",21175,"Bea Duran",82,1,"D",1,"Rep","HD-011",40,7,9.175,7,0,1,0,1,0,0
"WPSA.L.80.61",21176,"Michelle Gorelow",80,1,"D",1,"Rep","HD-035",1,0,NA,NA,0,1,0,1,0,0
"WPSA.L.81.41",21176,"Michelle Gorelow",81,1,"D",1,"Rep","HD-035",46,8,9.73913043478261,7,0,1,0,1,0,0
"WPSA.L.82.32",21176,"Michelle Gorelow",82,1,"D",1,"Rep","HD-035",47,10,8.19148936170213,7,0,1,0,1,0,0
"WPSA.L.80.62",21177,"Gregory Hafen",80,2,"R",1,"Rep","HD-036",1,0,NA,NA,1,0,0,0,0,0
"WPSA.L.81.42",21177,"Gregory Hafen",81,2,"R",1,"Rep","HD-036",49,10,7.42857142857143,5,1,0,0,0,1,0
"WPSA.L.82.33",21177,"Gregory Hafen",82,2,"R",1,"Rep","HD-036",39,10,7.35897435897436,5,1,0,0,0,0,0
"WPSA.L.80.63",21178,"Alexis Hansen",80,2,"R",1,"Rep","HD-032",1,0,NA,NA,1,0,0,1,0,0
"WPSA.L.81.43",21178,"Alexis Hansen",81,2,"R",1,"Rep","HD-032",44,9,9.06818181818182,7.5,1,0,0,1,0,0
"WPSA.L.82.34",21178,"Alexis Hansen",82,2,"R",1,"Rep","HD-032",40,5,7.75,6,1,0,0,1,0,0
"WPSA.L.80.64",21179,"Melissa Hardy",80,2,"R",1,"Rep","HD-022",1,0,NA,NA,1,0,0,1,0,0
"WPSA.L.81.44",21179,"Melissa Hardy",81,2,"R",1,"Rep","HD-022",52,8,8.34615384615385,6.5,1,0,0,1,0,0
"WPSA.L.82.35",21179,"Melissa Hardy",82,2,"R",1,"Rep","HD-022",31,9,8.74193548387097,7,1,0,0,1,0,0
"WPSA.L.80.65",21180,"Glen Leavitt",80,2,"R",1,"Rep","HD-023",1,0,NA,NA,1,0,0,0,0,0
"WPSA.L.81.45",21180,"Glen Leavitt",81,2,"R",1,"Rep","HD-023",56,10,9.03571428571429,7.5,1,0,0,0,1,1
"WPSA.L.80.66",21181,"Susan Martinez",80,1,"D",1,"Rep","HD-012",1,0,NA,NA,0,1,0,1,0,0
"WPSA.L.81.46",21181,"Susan Martinez",81,1,"D",1,"Rep","HD-012",46,7,11.804347826087,8,0,1,0,1,0,0
"WPSA.L.80.67",21182,"Connie Munk",80,1,"D",1,"Rep","HD-004",1,0,NA,NA,0,1,0,1,0,0
"WPSA.L.80.68",21183,"Sarah Peters",80,1,"D",1,"Rep","HD-024",1,0,NA,NA,0,1,0,1,0,0
"WPSA.L.81.47",21183,"Sarah Peters",81,1,"D",1,"Rep","HD-024",58,9,11.7758620689655,8,0,1,0,1,0,0
"WPSA.L.82.36",21183,"Sarah Peters",82,1,"D",1,"Rep","HD-024",60,9,12.1833333333333,9,0,1,0,1,1,0
"WPSA.L.80.69",21184,"Thomas Roberts",80,2,"R",1,"Rep","HD-013",1,0,NA,NA,1,0,0,0,1,0
"WPSA.L.81.48",21184,"Thomas Roberts",81,2,"R",1,"Rep","HD-013",65,8,10.7076923076923,8,1,0,0,0,1,0
"WPSA.L.82.37",21184,"Thomas Roberts",82,2,"R",1,"Rep","HD-013",1,0,2,2,1,0,0,0,0,0
"WPSA.L.80.70",21185,"Selena Torres",80,1,"D",1,"Rep","HD-003",1,0,NA,NA,0,1,0,1,0,0
"WPSA.L.81.49",21185,"Selena Torres",81,1,"D",1,"Rep","HD-003",72,10,11.625,7,0,1,0,1,0,0
"WPSA.L.82.38",21185,"Selena Torres",82,1,"D",1,"Rep","HD-003",60,10,10.4333333333333,5.5,0,1,0,1,1,0
"WPSA.L.80.71",21186,"Howard Watts",80,1,"D",1,"Rep","HD-015",1,0,NA,NA,0,1,0,0,0,0
"WPSA.L.81.50",21186,"Howard Watts",81,1,"D",1,"Rep","HD-015",58,10,11.8275862068966,4,0,1,0,0,0,0
"WPSA.L.82.39",21186,"Howard Watts",82,1,"D",1,"Rep","HD-015",66,12,11.8787878787879,8,0,1,0,0,1,1
"WPSA.L.80.72",21252,"Rochelle Nguyen",80,1,"D",1,"Rep","HD-010",1,0,NA,NA,0,1,0,1,0,0
"WPSA.L.81.51",21252,"Rochelle Nguyen",81,1,"D",1,"Rep","HD-010",61,10,10.1639344262295,5,0,1,0,1,0,0
"WPSA.L.82.40",21252,"Rochelle Nguyen",82,1,"D",2,"Sen","SD-003",90,12,9.1,8.5,0,1,0,1,0,0
"WPSA.L.80.73",21338,"Marcia Washington",80,1,"D",2,"Sen","SD-004",1,0,NA,NA,0,1,0,1,0,0
"WPSA.L.80.74",21354,"Greg Smith",80,1,"D",1,"Rep","HD-030",1,0,NA,NA,0,1,0,0,0,0
"WPSA.L.81.52",22753,"Carrie Buck",81,2,"R",2,"Sen","SD-005",63,11,5.95238095238095,4,1,0,0,1,0,0
"WPSA.L.82.41",22753,"Carrie Buck",82,2,"R",2,"Sen","SD-005",71,19,3.33802816901408,3,1,0,0,1,1,0
"WPSA.L.81.53",22754,"Roberta Lange",81,1,"D",2,"Sen","SD-007",41,13,7.02439024390244,3,0,1,0,1,0,0
"WPSA.L.82.42",22754,"Roberta Lange",82,1,"D",2,"Sen","SD-007",82,19,6.74390243902439,6,0,1,0,1,1,0
"WPSA.L.81.54",22756,"Cecelia Gonzalez",81,1,"D",1,"Rep","HD-016",63,6,8.68253968253968,6,0,1,0,1,0,0
"WPSA.L.82.43",22756,"Cecelia Gonzalez",82,1,"D",1,"Rep","HD-016",79,10,6.78481012658228,4,0,1,0,1,0,0
"WPSA.L.81.55",22757,"Natha Anderson",81,1,"D",1,"Rep","HD-030",59,6,5.50847457627119,4,0,1,0,1,0,0
"WPSA.L.82.44",22757,"Natha Anderson",82,1,"D",1,"Rep","HD-030",68,9,5,3,0,1,0,1,0,0
"WPSA.L.81.56",22758,"David Orentlicher",81,1,"D",1,"Rep","HD-020",41,5,16,13,0,1,0,0,0,0
"WPSA.L.82.45",22758,"David Orentlicher",82,1,"D",1,"Rep","HD-020",41,10,12.3414634146341,8,0,1,0,0,0,0
"WPSA.L.81.57",22768,"Andy Matthews",81,2,"R",1,"Rep","HD-037",45,6,11.8888888888889,11,1,0,0,0,0,0
"WPSA.L.82.46",22768,"Andy Matthews",82,2,"R",1,"Rep","HD-037",1,0,11,11,1,0,0,0,0,0
"WPSA.L.81.58",22769,"Heidi Kasama",81,2,"R",1,"Rep","HD-002",42,6,10.5,8,1,0,0,1,0,0
"WPSA.L.82.47",22769,"Heidi Kasama",82,2,"R",1,"Rep","HD-002",41,8,8.24390243902439,6,1,0,0,1,0,0
"WPSA.L.81.59",22797,"Annie Black",81,2,"R",1,"Rep","HD-019",24,6,7.25,5.5,1,0,0,1,0,0
"WPSA.L.81.60",22798,"Venicia Considine",81,1,"D",1,"Rep","HD-018",56,6,7.57142857142857,5.5,0,1,0,1,0,0
"WPSA.L.82.48",22798,"Venicia Considine",82,1,"D",1,"Rep","HD-018",49,7,7.75510204081633,5,0,1,0,1,0,0
"WPSA.L.81.61",22828,"Tracy Brown-May",81,1,"D",1,"Rep","HD-042",37,0,7.89189189189189,7,0,1,0,1,0,0
"WPSA.L.82.49",22828,"Tracy Brown-May",82,1,"D",1,"Rep","HD-042",46,9,6.28260869565217,4,0,1,0,1,0,0
"WPSA.L.81.62",22829,"Elaine Marzola",81,1,"D",1,"Rep","HD-021",48,3,12.5,9.5,0,1,0,1,0,0
"WPSA.L.82.50",22829,"Elaine Marzola",82,1,"D",1,"Rep","HD-021",32,6,8.6875,4.5,0,1,0,1,0,0
"WPSA.L.81.63",22830,"Cameron Miller",81,1,"D",1,"Rep","HD-007",46,6,11.1521739130435,7.5,0,1,0,0,0,0
"WPSA.L.82.51",22830,"Cameron Miller",82,1,"D",1,"Rep","HD-007",45,7,10.5111111111111,7,0,1,0,0,1,0
"WPSA.L.81.64",22831,"Shondra Summers-Armstrong",81,1,"D",1,"Rep","HD-006",44,5,15.0681818181818,10,0,1,0,1,0,0
"WPSA.L.82.52",22831,"Shondra Summers-Armstrong",82,1,"D",1,"Rep","HD-006",44,8,12.4545454545455,9,0,1,0,1,0,0
"WPSA.L.81.65",22832,"Clara Thomas",81,1,"D",1,"Rep","HD-017",62,5,14.8548387096774,11,0,1,0,1,0,0
"WPSA.L.82.53",22832,"Clara Thomas",82,1,"D",1,"Rep","HD-017",73,9,10.958904109589,8,0,1,0,1,0,0
"WPSA.L.81.66",22839,"Fabian Donate",81,1,"D",2,"Sen","SD-010",51,3,7.52941176470588,5,0,1,0,0,0,0
"WPSA.L.82.54",22839,"Fabian Donate",82,1,"D",2,"Sen","SD-010",104,12,5.04807692307692,3,0,1,0,0,1,1
"WPSA.L.82.55",24694,"Rich DeLong",82,2,"R",1,"Rep","HD-026",30,4,6.46666666666667,6,1,0,0,0,1,1
"WPSA.L.82.56",24695,"Reuben D'Silva",82,1,"D",1,"Rep","HD-028",68,6,8.11764705882353,6,0,1,0,0,0,0
"WPSA.L.82.57",24696,"Danielle Gallant",82,2,"R",1,"Rep","HD-023",42,5,6.83333333333333,6,1,0,0,1,1,0
"WPSA.L.82.58",24697,"Ken Gray",82,2,"R",1,"Rep","HD-039",44,6,5.45454545454545,3,1,0,0,0,0,0
"WPSA.L.82.59",24698,"Bert Gurr",82,2,"R",1,"Rep","HD-033",45,5,7.93333333333333,6,1,0,0,0,0,0
"WPSA.L.82.60",24699,"Brian Hibbetts",82,2,"R",1,"Rep","HD-013",34,6,9.29411764705882,7.5,1,0,0,0,0,0
"WPSA.L.82.61",24700,"Gregory Koenig",82,2,"R",1,"Rep","HD-038",39,3,11.8974358974359,11,1,0,0,0,0,0
"WPSA.L.82.62",24701,"Selena La Rue Hatch",82,1,"D",1,"Rep","HD-025",41,6,9.92682926829268,8,0,1,0,1,0,0
"WPSA.L.82.63",24702,"Erica Mosca",82,1,"D",1,"Rep","HD-014",35,6,14.4,13,0,1,0,1,0,0
"WPSA.L.82.64",24703,"Duy Nguyen",82,1,"D",1,"Rep","HD-008",56,6,11.7857142857143,9,0,1,0,0,0,0
"WPSA.L.82.65",24704,"Jeff Stone",82,2,"R",2,"Sen","SD-020",98,12,6.59183673469388,4,1,0,0,0,1,1
"WPSA.L.82.66",24705,"Thaddeus Yurek",82,2,"R",1,"Rep","HD-019",37,5,10.7297297297297,6,1,0,0,0,0,0
"WPSA.L.82.67",24823,"Max Carter",82,1,"D",1,"Rep","HD-012",46,5,8.45652173913044,6,0,1,0,0,0,0
"WPSA.L.82.68",24824,"Julie Pazina",82,1,"D",2,"Sen","SD-012",83,9,9.49397590361446,9,0,1,0,1,0,0
"WPSA.L.82.69",24825,"Angie Taylor",82,1,"D",1,"Rep","HD-027",55,5,15.0545454545455,14,0,1,0,1,0,0
"WPSA.L.82.70",24874,"Sabra Newby",82,1,"D",1,"Rep","HD-010",33,2,16.3939393939394,14,0,1,0,1,0,0
